-DOCSTART- -X- O
repoed -X- _ O
but -X- _ O
it -X- _ O
is -X- _ O
now -X- _ O
stuck -X- _ O
on -X- _ O
my -X- _ O
credit -X- _ O
report -X- _ O

I -X- _ O
was -X- _ O
sent -X- _ O
a -X- _ O
letter -X- _ O
by -X- _ O
Moore -X- _ B-ORG
LLC -X- _ I-ORG
Financial -X- _ I-ORG
about -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$390474 -X- _ B-AMOUNT
I -X- _ O
allegedly -X- _ O
took -X- _ O
out -X- _ O
on -X- _ O
2021-07-26. -X- _ B-DATE
This -X- _ O
is -X- _ O
a -X- _ O
second -X- _ O
complaint -X- _ O
concerning -X- _ O
Shellpoint -X- _ B-ORG
Mortgage -X- _ I-ORG
Servicing. -X- _ I-ORG
Original -X- _ O
( -X- _ O
XXXX -X- _ O
) -X- _ O
was -X- _ O
not -X- _ O
taken -X- _ O
care -X- _ O
of. -X- _ O
We -X- _ O
still -X- _ O
can -X- _ O
not -X- _ O
access -X- _ O
our -X- _ O
account. -X- _ O
We -X- _ O
still -X- _ O
remain -X- _ O
in -X- _ O
Bankruptcy -X- _ O
per -X- _ O
their -X- _ O
records. -X- _ O
Customer -X- _ O
Service -X- _ O
can -X- _ O
not -X- _ O
or -X- _ O
will -X- _ O
not -X- _ O
help. -X- _ O
Bankruptcy -X- _ O
Department -X- _ O
does -X- _ O
not -X- _ O
respond -X- _ O
to -X- _ O
messages -X- _ O
and -X- _ O
does -X- _ O
n't -X- _ O
answer -X- _ O
their -X- _ O
phone. -X- _ O
Absolutely -X- _ O
noone -X- _ O
can/will -X- _ O
help -X- _ O
at -X- _ O
Shellpoint. -X- _ O
We -X- _ O
can -X- _ O
not -X- _ O
even -X- _ O
verify -X- _ O
what -X- _ O
our -X- _ O
XXXX -X- _ O
payment -X- _ O
should -X- _ O
be. -X- _ O

Good -X- _ O
afternoon, -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Mark -X- _ B-PER
Juarez -X- _ I-PER
and -X- _ O
my -X- _ O
email -X- _ O
is -X- _ O
regarding -X- _ O
Roach -X- _ B-ORG
PLC -X- _ I-ORG
Bank -X- _ I-ORG
and -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$836296. -X- _ B-AMOUNT
My -X- _ O
refinanced -X- _ O
mortgage -X- _ O
loan -X- _ O
is -X- _ O
a -X- _ O
non-escrowed -X- _ O
account, -X- _ O
per -X- _ O
the -X- _ O
loan -X- _ O
documents. -X- _ O
Freedom -X- _ B-ORG
Mortgage -X- _ I-ORG
began -X- _ O
escrowing -X- _ O
the -X- _ O
account -X- _ O
for -X- _ O
property -X- _ O
taxes -X- _ O
in -X- _ O
XXXX -X- _ O
2017, -X- _ O
because -X- _ O
it -X- _ O
claimed -X- _ O
that -X- _ O
I -X- _ O
had -X- _ O
unpaid -X- _ O
taxes. -X- _ O
I -X- _ O
had -X- _ O
no -X- _ O
unpaid -X- _ O
taxes. -X- _ O
My -X- _ O
taxes -X- _ O
were -X- _ O
paid -X- _ O
on -X- _ O
time -X- _ O
and -X- _ O
I -X- _ O
sent -X- _ O
the -X- _ O
proof -X- _ O
to -X- _ O
Freedom -X- _ B-ORG
Mortgage. -X- _ I-ORG
Over -X- _ O
the -X- _ O
past -X- _ O
12 -X- _ O
months, -X- _ O
I -X- _ O
have -X- _ O
attempted -X- _ O
to -X- _ O
delete -X- _ O
the -X- _ O
escrow -X- _ O
account -X- _ O
and -X- _ O
revert -X- _ O
the -X- _ O
account -X- _ O
back -X- _ O
to -X- _ O
have -X- _ O
borrower -X- _ O
paid -X- _ O
property -X- _ O
tax. -X- _ O
Freedom -X- _ B-ORG
Mortgage -X- _ I-ORG
has -X- _ O
refused -X- _ O
to -X- _ O
honor -X- _ O
my -X- _ O
request. -X- _ O
Freedom -X- _ B-ORG
Mortgage -X- _ I-ORG
has -X- _ O
also -X- _ O
underpaid -X- _ O
the -X- _ O
property -X- _ O
taxes, -X- _ O
which -X- _ O
caused -X- _ O
fees -X- _ O
and -X- _ O
interest -X- _ O
to -X- _ O
accrue -X- _ O
and -X- _ O
the -X- _ O
home -X- _ O
to -X- _ O
go -X- _ O
into -X- _ O
tax -X- _ O
title. -X- _ O
Then, -X- _ O
Freedom -X- _ B-ORG
Mortgage -X- _ I-ORG
added -X- _ O
the -X- _ O
fees -X- _ O
and -X- _ O
interest -X- _ O
to -X- _ O
the -X- _ O
escrow -X- _ O
account. -X- _ O

Hi, -X- _ O
I -X- _ O
am -X- _ O
Brianna -X- _ B-PER
Cooper -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
applied -X- _ O
for -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$454022 -X- _ B-AMOUNT
from -X- _ O
Yang, -X- _ B-ORG
Johnson -X- _ I-ORG
and -X- _ I-ORG
Taylor -X- _ I-ORG
Financial -X- _ I-ORG
on -X- _ O
2020-08-25. -X- _ B-DATE
My -X- _ O
mortgage -X- _ O
was -X- _ O
fully -X- _ O
paid -X- _ O
off, -X- _ O
but -X- _ O
Freedom -X- _ B-ORG
Mortgage -X- _ I-ORG
withdrew -X- _ O
an -X- _ O
additional -X- _ O
mortgage -X- _ O
payment -X- _ O
from -X- _ O
me -X- _ O
after -X- _ O
the -X- _ O
mortgage -X- _ O
was -X- _ O
paid -X- _ O
off. -X- _ O
I -X- _ O
have -X- _ O
sent -X- _ O
a -X- _ O
secure -X- _ O
message -X- _ O
and -X- _ O
have -X- _ O
no -X- _ O
response -X- _ O
at -X- _ O
all -X- _ O
after -X- _ O
allowing -X- _ O
ample -X- _ O
time -X- _ O
for -X- _ O
a -X- _ O
response. -X- _ O
This -X- _ O
amount -X- _ O
I -X- _ O
could -X- _ O
have -X- _ O
invested -X- _ O
and -X- _ O
I -X- _ O
believe -X- _ O
there -X- _ O
should -X- _ O
be -X- _ O
a -X- _ O
penalty -X- _ O
or.interest -X- _ O
paid -X- _ O
on -X- _ O
the -X- _ O
amount -X- _ O
that -X- _ O
was -X- _ O
incorrectly -X- _ O
withdrew. -X- _ O
Freedom -X- _ B-ORG
Mortgage -X- _ I-ORG
has -X- _ O
acted -X- _ O
in -X- _ O
negligence. -X- _ O

Hi, -X- _ O
I -X- _ O
am -X- _ O
Tammy -X- _ B-PER
Moyer -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
applied -X- _ O
for -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$930340 -X- _ B-AMOUNT
from -X- _ O
Lee, -X- _ B-ORG
Harvey -X- _ I-ORG
and -X- _ I-ORG
Garcia -X- _ I-ORG
Financial -X- _ I-ORG
on -X- _ O
2020-11-05. -X- _ B-DATE
I -X- _ O
opened -X- _ O
my -X- _ O
home -X- _ O
loan -X- _ O
in -X- _ O
XX/XX/XXXX -X- _ O
, -X- _ O
and -X- _ O
it -X- _ O
has -X- _ O
been -X- _ O
sold -X- _ O
twice -X- _ O
since -X- _ O
then. -X- _ O
The -X- _ O
most -X- _ O
recent -X- _ O
owner -X- _ O
of -X- _ O
my -X- _ O
home -X- _ O
lone -X- _ O
is -X- _ O
DiTech -X- _ O
Financial. -X- _ O
Since -X- _ O
Ditech -X- _ O
took -X- _ O
over -X- _ O
my -X- _ O
loan, -X- _ O
they -X- _ O
have -X- _ O
LOST -X- _ O
my -X- _ O
payments -X- _ O
TWICE -X- _ O
and -X- _ O
had -X- _ O
to -X- _ O
go -X- _ O
deep -X- _ O
into -X- _ O
their -X- _ O
system -X- _ O
to -X- _ O
retrieve -X- _ O
my -X- _ O
money. -X- _ O
NOW -X- _ O
they -X- _ O
have -X- _ O
a -X- _ O
new -X- _ O
scam -X- _ O
- -X- _ O
they -X- _ O
have -X- _ O
diverted -X- _ O
a -X- _ O
portion -X- _ O
of -X- _ O
my -X- _ O
payment -X- _ O
to -X- _ O
an -X- _ O
" -X- _ O
escrow -X- _ O
'' -X- _ O
account. -X- _ O
I -X- _ O
have -X- _ O
NEVER -X- _ O
made -X- _ O
escrow -X- _ O
payments -X- _ O
through -X- _ O
Ditech. -X- _ O
I -X- _ O
manage -X- _ O
my -X- _ O
property -X- _ O
tax -X- _ O
and -X- _ O
insurance -X- _ O
ON -X- _ O
MY -X- _ O
OWN -X- _ O
and -X- _ O
therefore -X- _ O
have -X- _ O
NEVER -X- _ O
needed -X- _ O
an -X- _ O
escrow -X- _ O
account -X- _ O
on -X- _ O
my -X- _ O
mortgage. -X- _ O
This -X- _ O
is -X- _ O
a -X- _ O
NEW -X- _ O
SCAM -X- _ O
orchestrated -X- _ O
by -X- _ O
Ditech -X- _ O
to -X- _ O
steal -X- _ O
money -X- _ O
from -X- _ O
me -X- _ O
each -X- _ O
month, -X- _ O
hoping -X- _ O
that -X- _ O
I -X- _ O
would -X- _ O
not -X- _ O
notice. -X- _ O
The -X- _ O
illegal -X- _ O
charge -X- _ O
was -X- _ O
made -X- _ O
on -X- _ O
my -X- _ O
most -X- _ O
recent -X- _ O
payment -X- _ O
on -X- _ O
XX/XX/XXXX -X- _ O
, -X- _ O
with -X- _ O
an -X- _ O
amount -X- _ O
of -X- _ O
$100.00 -X- _ O
being -X- _ O
funneled -X- _ O
into -X- _ O
their -X- _ O
backchannel -X- _ O
" -X- _ O
escrow -X- _ O
'' -X- _ O
account. -X- _ O

I -X- _ O
was -X- _ O
sent -X- _ O
a -X- _ O
letter -X- _ O
by -X- _ O
Lopez -X- _ B-ORG
Ltd -X- _ I-ORG
Financial -X- _ I-ORG
about -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$439199 -X- _ B-AMOUNT
I -X- _ O
allegedly -X- _ O
took -X- _ O
out -X- _ O
on -X- _ O
2019-10-12. -X- _ B-DATE
I -X- _ O
recently -X- _ O
had -X- _ O
my -X- _ O
hours -X- _ O
cut -X- _ O
from -X- _ O
Full -X- _ O
time -X- _ O
to -X- _ O
Part -X- _ O
time -X- _ O
and -X- _ O
I -X- _ O
explained -X- _ O
myself -X- _ O
to -X- _ O
them -X- _ O
asking -X- _ O
what -X- _ O
could -X- _ O
be -X- _ O
done -X- _ O
to -X- _ O
get -X- _ O
assistance. -X- _ O
They -X- _ O
basically -X- _ O
told -X- _ O
me -X- _ O
they -X- _ O
can -X- _ O
only -X- _ O
" -X- _ O
extend -X- _ O
my -X- _ O
due -X- _ O
date -X- _ O
out -X- _ O
a -X- _ O
week -X- _ O
and -X- _ O
a -X- _ O
half -X- _ O
'' -X- _ O
it -X- _ O
made -X- _ O
no -X- _ O
sense!! -X- _ O
I -X- _ O
pay -X- _ O
XXXX -X- _ O
per -X- _ O
month -X- _ O
and -X- _ O
they -X- _ O
literally -X- _ O
call -X- _ O
and -X- _ O
leave -X- _ O
a -X- _ O
voicemail -X- _ O
every -X- _ O
single -X- _ O
day. -X- _ O
I've -X- _ O
asked -X- _ O
them -X- _ O
to -X- _ O
stop -X- _ O
and -X- _ O
it -X- _ O
doesn't -X- _ O
stop. -X- _ O
Nobody -X- _ O
on -X- _ O
this -X- _ O
earth, -X- _ O
thought -X- _ O
COVID -X- _ O
would -X- _ O
happen -X- _ O
and -X- _ O
for -X- _ O
the -X- _ O
companies -X- _ O
to -X- _ O
not -X- _ O
have -X- _ O
a -X- _ O
system -X- _ O
in -X- _ O
place -X- _ O
after -X- _ O
almost -X- _ O
a -X- _ O
year -X- _ O
doesn't -X- _ O
make -X- _ O
any -X- _ O
sense -X- _ O
and -X- _ O
they -X- _ O
shouldn't -X- _ O
be -X- _ O
allowed -X- _ O
to -X- _ O
harrass -X- _ O
people -X- _ O
for -X- _ O
payment. -X- _ O

Hi, -X- _ O
I -X- _ O
am -X- _ O
Marcus -X- _ B-PER
Clarke -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
applied -X- _ O
for -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$803766 -X- _ B-AMOUNT
from -X- _ O
Baker, -X- _ B-ORG
Brown -X- _ I-ORG
and -X- _ I-ORG
Gonzalez -X- _ I-ORG
Financial -X- _ I-ORG
on -X- _ O
2020-06-22. -X- _ B-DATE
I -X- _ O
sent -X- _ O
in -X- _ O
a -X- _ O
cashiers -X- _ O
check -X- _ O
over -X- _ O
a -X- _ O
week -X- _ O
ago -X- _ O
and -X- _ O
it's -X- _ O
been -X- _ O
confirmed -X- _ O
received -X- _ O
and -X- _ O
they -X- _ O
still -X- _ O
havent -X- _ O
updates -X- _ O
my -X- _ O
account -X- _ O
and -X- _ O
still -X- _ O
charging -X- _ O
me -X- _ O
daily -X- _ O
interest. -X- _ O
This -X- _ O
is -X- _ O
causing -X- _ O
financial -X- _ O
harm -X- _ O
and -X- _ O
totally -X- _ O
illegal. -X- _ O
I -X- _ O
need -X- _ O
them -X- _ O
to -X- _ O
credit -X- _ O
my -X- _ O
cashiers -X- _ O
check -X- _ O
to -X- _ O
reflect -X- _ O
payment -X- _ O
in -X- _ O
full -X- _ O
and -X- _ O
manually -X- _ O
updated -X- _ O
the -X- _ O
3 -X- _ O
credit -X- _ O
reporting -X- _ O
agencies -X- _ O
to -X- _ O
show -X- _ O
the -X- _ O
account -X- _ O
is -X- _ O
XXXX -X- _ O
balance -X- _ O
and -X- _ O
paid -X- _ O
off. -X- _ O

Good -X- _ O
afternoon, -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Erica -X- _ B-PER
Brooks -X- _ I-PER
and -X- _ O
my -X- _ O
email -X- _ O
is -X- _ O
regarding -X- _ O
Barker -X- _ B-ORG
PLC -X- _ I-ORG
Bank -X- _ I-ORG
and -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$672823. -X- _ B-AMOUNT
Our -X- _ O
office -X- _ O
notified -X- _ O
Capital -X- _ B-ORG
One -X- _ I-ORG
that -X- _ O
XXXX -X- _ O
XXXX -X- _ O
passed -X- _ O
away -X- _ O
and -X- _ O
that -X- _ O
we -X- _ O
were -X- _ O
acting -X- _ O
as -X- _ O
his -X- _ O
representative. -X- _ O
We -X- _ O
advised -X- _ O
Capital -X- _ O
One -X- _ O
that -X- _ O
we -X- _ O
would -X- _ O
notify -X- _ O
them -X- _ O
if -X- _ O
an -X- _ O
estate -X- _ O
opened. -X- _ O
After -X- _ O
receiving -X- _ O
our -X- _ O
notification, -X- _ O
Capital -X- _ O
One -X- _ O
began -X- _ O
sending -X- _ O
letters -X- _ O
to -X- _ O
the -X- _ O
former -X- _ O
business -X- _ O
of -X- _ O
the -X- _ O
decedent -X- _ O
stating, -X- _ O
" -X- _ O
We're -X- _ O
trying -X- _ O
to -X- _ O
find -X- _ O
the -X- _ O
person -X- _ O
who -X- _ O
has -X- _ O
the -X- _ O
authority -X- _ O
to -X- _ O
pay -X- _ O
the -X- _ O
outstanding -X- _ O
bills -X- _ O
of -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
out -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
XXXX -X- _ O
's -X- _ O
estate. -X- _ O
'' -X- _ O
Since -X- _ O
we -X- _ O
wrote -X- _ O
to -X- _ O
Capital -X- _ B-ORG
One -X- _ I-ORG
providing -X- _ O
them -X- _ O
with -X- _ O
an -X- _ O
address -X- _ O
to -X- _ O
communicate -X- _ O
about -X- _ O
the -X- _ O
debts -X- _ O
of -X- _ O
the -X- _ O
decedent, -X- _ O
there -X- _ O
was -X- _ O
no -X- _ O
proper -X- _ O
reason -X- _ O
for -X- _ O
them -X- _ O
to -X- _ O
contact -X- _ O
the -X- _ O
former -X- _ O
employment -X- _ O
address. -X- _ O
Capital -X- _ B-ORG
One -X- _ I-ORG
was -X- _ O
provided -X- _ O
with -X- _ O
an -X- _ O
address -X- _ O
to -X- _ O
send -X- _ O
any -X- _ O
questions -X- _ O
or -X- _ O
correspondence. -X- _ O

I -X- _ O
was -X- _ O
sent -X- _ O
a -X- _ O
letter -X- _ O
by -X- _ O
Wright, -X- _ B-ORG
Williams -X- _ I-ORG
and -X- _ I-ORG
Sanchez -X- _ I-ORG
Financial -X- _ I-ORG
about -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$57067 -X- _ B-AMOUNT
I -X- _ O
allegedly -X- _ O
took -X- _ O
out -X- _ O
on -X- _ O
2021-08-30. -X- _ B-DATE
Caliber -X- _ O
had -X- _ O
me -X- _ O
work -X- _ O
with -X- _ O
them -X- _ O
doing -X- _ O
a -X- _ O
loan -X- _ O
modification. -X- _ O
I -X- _ O
submitted -X- _ O
my -X- _ O
documentation -X- _ O
multiple -X- _ O
times -X- _ O
over -X- _ O
and -X- _ O
over -X- _ O
again -X- _ O
and -X- _ O
I -X- _ O
documented -X- _ O
every -X- _ O
call -X- _ O
and -X- _ O
every -X- _ O
submission -X- _ O
I -X- _ O
sent. -X- _ O
They -X- _ O
continued -X- _ O
the -X- _ O
foreclosure -X- _ O
process -X- _ O
( -X- _ O
dual -X- _ O
tracking -X- _ O
) -X- _ O
as -X- _ O
they -X- _ O
were -X- _ O
working -X- _ O
on -X- _ O
my -X- _ O
loan -X- _ O
modification. -X- _ O
I -X- _ O
have -X- _ O
a -X- _ O
foreclosure -X- _ O
date -X- _ O
of -X- _ O
XXXX -X- _ O
XXXX -X- _ O
and -X- _ O
very -X- _ O
little -X- _ O
time -X- _ O
to -X- _ O
do -X- _ O
anything -X- _ O
other -X- _ O
file -X- _ O
for -X- _ O
bankruptcy. -X- _ O

I -X- _ O
was -X- _ O
sent -X- _ O
a -X- _ O
letter -X- _ O
by -X- _ O
Martin, -X- _ B-ORG
Montgomery -X- _ I-ORG
and -X- _ I-ORG
Howell -X- _ I-ORG
Financial -X- _ I-ORG
about -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$791433 -X- _ B-AMOUNT
I -X- _ O
allegedly -X- _ O
took -X- _ O
out -X- _ O
on -X- _ O
2020-03-06. -X- _ B-DATE
I -X- _ O
XXXX -X- _ O
XXXX -X- _ O
Sent -X- _ O
Debt -X- _ O
Validation -X- _ O
letters -X- _ O
to -X- _ O
Phoenix -X- _ B-ORG
Financial -X- _ I-ORG
Services -X- _ I-ORG
to -X- _ O
Validate -X- _ O
debt -X- _ O
attached -X- _ O
accounts -X- _ O
on -X- _ O
XXXX -X- _ O
XXXX -X- _ O
Induvial -X- _ O
Action -X- _ O
XXXX -X- _ O
1. -X- _ O
Phoenix -X- _ O
Financial -X- _ O
Service -X- _ O
did -X- _ O
not -X- _ O
comply -X- _ O
5 -X- _ O
days -X- _ O
after -X- _ O
speaking -X- _ O
to -X- _ O
me. -X- _ O
2. -X- _ O
Phoenix -X- _ B-ORG
Financial -X- _ I-ORG
Service -X- _ I-ORG
did -X- _ O
not -X- _ O
provide -X- _ O
validation -X- _ O
of -X- _ O
the -X- _ O
debts -X- _ O
3.Phoenix -X- _ B-ORG
Financial -X- _ I-ORG
Service -X- _ I-ORG
did -X- _ O
not -X- _ O
cease -X- _ O
in -X- _ O
collecting -X- _ O
debts -X- _ O

Hi, -X- _ O
I -X- _ O
am -X- _ O
Justin -X- _ B-PER
Wang -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
applied -X- _ O
for -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$170361 -X- _ B-AMOUNT
from -X- _ O
Bender, -X- _ B-ORG
Fox -X- _ I-ORG
and -X- _ I-ORG
Price -X- _ I-ORG
Financial -X- _ I-ORG
on -X- _ O
2020-06-27. -X- _ B-DATE
I -X- _ O
was -X- _ O
having -X- _ O
difficultly -X- _ O
making -X- _ O
my -X- _ O
monthly -X- _ O
payment. -X- _ O
I -X- _ O
call -X- _ O
customer -X- _ O
service -X- _ O
at -X- _ O
Santander -X- _ O
Consumer -X- _ O
USA -X- _ O
whom -X- _ O
Finance -X- _ O
my -X- _ O
car -X- _ O
loan. -X- _ O
I -X- _ O
ask -X- _ O
them -X- _ O
if -X- _ O
they -X- _ O
would -X- _ O
work -X- _ O
with -X- _ O
me -X- _ O
in -X- _ O
keeping -X- _ O
my -X- _ O
payment -X- _ O
at -X- _ O
the -X- _ O
$210.00 -X- _ B-AMOUNT
instead -X- _ O
of -X- _ O
raising -X- _ O
my -X- _ O
payment -X- _ O
back -X- _ O
to -X- _ O
$360.00 -X- _ B-AMOUNT
which -X- _ O
I -X- _ O
can't -X- _ O
afford, -X- _ O
in -X- _ O
the -X- _ O
perceivable -X- _ O
future -X- _ O
I -X- _ O
need -X- _ O
to -X- _ O
have -X- _ O
my -X- _ O
payment -X- _ O
to -X- _ O
stay -X- _ O
at -X- _ O
$210.00. -X- _ B-AMOUNT
I -X- _ O
can -X- _ O
comfortably -X- _ O
afford -X- _ O
this -X- _ O
payment. -X- _ O
I -X- _ O
tried -X- _ O
to -X- _ O
negotiate -X- _ O
with -X- _ O
them -X- _ O
about -X- _ O
leaving -X- _ O
my -X- _ O
payment -X- _ O
the -X- _ O
same. -X- _ O
I -X- _ O
am -X- _ O
in -X- _ O
a -X- _ O
financial -X- _ O
hardship. -X- _ O

Hi, -X- _ O
I -X- _ O
am -X- _ O
Terry -X- _ B-PER
Smith -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
applied -X- _ O
for -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$689089 -X- _ B-AMOUNT
from -X- _ O
Carson-Mccall -X- _ B-ORG
Financial -X- _ I-ORG
on -X- _ O
2020-06-19. -X- _ B-DATE
I -X- _ O
have -X- _ O
been -X- _ O
trying -X- _ O
to -X- _ O
refinance -X- _ O
with -X- _ O
AmeriSave -X- _ O
mortgage -X- _ O
company -X- _ O
and -X- _ O
they -X- _ O
have -X- _ O
been -X- _ O
awful -X- _ O
about -X- _ O
communication. -X- _ O
I -X- _ O
haven't -X- _ O
heard -X- _ O
back -X- _ O
in -X- _ O
three -X- _ O
weeks. -X- _ O
I've -X- _ O
sent -X- _ O
multiple -X- _ O
emails -X- _ O
and -X- _ O
left -X- _ O
voicemails -X- _ O
both -X- _ O
with -X- _ O
my -X- _ O
loan -X- _ O
officer -X- _ O
and -X- _ O
with -X- _ O
the -X- _ O
customer -X- _ O
support -X- _ O
email/phone -X- _ O
line. -X- _ O
I -X- _ O
am -X- _ O
extremely -X- _ O
frustrated, -X- _ O
want -X- _ O
to -X- _ O
rescind -X- _ O
my -X- _ O
application, -X- _ O
and -X- _ O
want -X- _ O
a -X- _ O
refund. -X- _ O

I -X- _ O
was -X- _ O
sent -X- _ O
a -X- _ O
letter -X- _ O
by -X- _ O
Alexander, -X- _ B-ORG
Garcia -X- _ I-ORG
and -X- _ I-ORG
Sanchez -X- _ I-ORG
Financial -X- _ I-ORG
about -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$176594 -X- _ B-AMOUNT
I -X- _ O
allegedly -X- _ O
took -X- _ O
out -X- _ O
on -X- _ O
2020-08-22. -X- _ B-DATE
Using -X- _ O
Toyota -X- _ B-ORG
Financing -X- _ I-ORG
's -X- _ O
automated -X- _ O
phone -X- _ O
system, -X- _ O
I -X- _ O
made -X- _ O
my -X- _ O
monthly -X- _ O
payment. -X- _ O
I -X- _ O
received -X- _ O
a -X- _ O
confirmation -X- _ O
number. -X- _ O
30 -X- _ O
days -X- _ O
later, -X- _ O
I -X- _ O
get -X- _ O
call -X- _ O
from -X- _ O
'toyota -X- _ O
collection -X- _ O
' -X- _ O
- -X- _ O
you -X- _ O
are -X- _ O
late. -X- _ O
There -X- _ O
is -X- _ O
now -X- _ O
a -X- _ O
late -X- _ O
fee. -X- _ O
Pay. -X- _ O
I -X- _ O
explain -X- _ O
I -X- _ O
made -X- _ O
payment -X- _ O
on -X- _ O
their -X- _ O
system -X- _ O
and -X- _ O
I -X- _ O
provide -X- _ O
my -X- _ O
confirmation -X- _ O
#. -X- _ O
I -X- _ O
ask, -X- _ O
how -X- _ O
can -X- _ O
i -X- _ O
have -X- _ O
a -X- _ O
late -X- _ O
fee? -X- _ O
I -X- _ O
ask, -X- _ O
why -X- _ O
no -X- _ O
one -X- _ O
told -X- _ O
me -X- _ O
payment -X- _ O
did -X- _ O
not -X- _ O
go -X- _ O
through -X- _ O
( -X- _ O
I -X- _ O
have -X- _ O
learned -X- _ O
that -X- _ O
basically -X- _ O
the -X- _ O
confirmation -X- _ O
# -X- _ O
I -X- _ O
get/got -X- _ O
from -X- _ O
Toyota -X- _ O
is -X- _ O
useless -X- _ O
). -X- _ O
Finally -X- _ O
-- -X- _ O
- -X- _ O
the -X- _ O
system -X- _ O
there -X- _ O
is -X- _ O
no -X- _ O
way -X- _ O
i -X- _ O
can -X- _ O
be -X- _ O
notified -X- _ O
if -X- _ O
a -X- _ O
payment -X- _ O
fails -X- _ O
... -X- _ O
... -X- _ O
only -X- _ O
If -X- _ O
i -X- _ O
pay -X- _ O
using -X- _ O
their -X- _ O
online -X- _ O
system -X- _ O
... -X- _ O
.then -X- _ O
I -X- _ O
would -X- _ O
get -X- _ O
such -X- _ O
a -X- _ O
notification -X- _ O
but -X- _ O
If -X- _ O
i -X- _ O
use -X- _ O
their -X- _ O
phone -X- _ O
system -X- _ O
... -X- _ O
..no -X- _ O
notice. -X- _ O
and -X- _ O
you -X- _ O
get -X- _ O
a -X- _ O
late -X- _ O
fee. -X- _ O

Good -X- _ O
afternoon, -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Mary -X- _ B-PER
Brooks -X- _ I-PER
and -X- _ O
my -X- _ O
email -X- _ O
is -X- _ O
regarding -X- _ O
Williams, -X- _ B-ORG
Johnson -X- _ I-ORG
and -X- _ I-ORG
Sanders -X- _ I-ORG
Bank -X- _ I-ORG
and -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$686312. -X- _ B-AMOUNT
Bank -X- _ B-ORG
of -X- _ I-ORG
America -X- _ I-ORG
has -X- _ O
been -X- _ O
servicing -X- _ O
my -X- _ O
home -X- _ O
mortgage -X- _ O
for -X- _ O
years. -X- _ O
I -X- _ O
pay -X- _ O
bi-monthly -X- _ O
and -X- _ O
recently -X- _ O
XX/XX/XXXX -X- _ O
and -X- _ O
XX/XX/XXXX -X- _ O
they -X- _ O
started -X- _ O
adding -X- _ O
a -X- _ O
$4.00 -X- _ B-AMOUNT
payment -X- _ O
process -X- _ O
fee -X- _ O
each -X- _ O
time -X- _ O
to -X- _ O
make -X- _ O
the -X- _ O
payment. -X- _ O
This -X- _ O
has -X- _ O
not -X- _ O
happened -X- _ O
in -X- _ O
the -X- _ O
past -X- _ O
but -X- _ O
recently -X- _ O
started. -X- _ O

Hi, -X- _ O
I -X- _ O
am -X- _ O
David -X- _ B-PER
Hendrix -X- _ I-PER
and -X- _ O
I -X- _ O
have -X- _ O
applied -X- _ O
for -X- _ O
a -X- _ O
loan -X- _ O
of -X- _ O
$625051 -X- _ B-AMOUNT
from -X- _ O
Hansen-Rodriguez -X- _ B-ORG
Financial -X- _ I-ORG
on -X- _ O
2020-08-16. -X- _ B-DATE
I -X- _ O
have -X- _ O
been -X- _ O
having -X- _ O
a -X- _ O
problem -X- _ O
with -X- _ O
Rushmore -X- _ B-ORG
Loan -X- _ I-ORG
Management -X- _ I-ORG
Services. -X- _ I-ORG
I -X- _ O
have -X- _ O
been -X- _ O
requesting -X- _ O
that -X- _ O
the -X- _ O
PMI -X- _ O
be -X- _ O
removed -X- _ O
since -X- _ O
2019 -X- _ O
with -X- _ O
no -X- _ O
success. -X- _ O
The -X- _ O
latest -X- _ O
letter -X- _ O
even -X- _ O
included -X- _ O
the -X- _ O
comparable -X- _ O
to -X- _ O
show -X- _ O
that -X- _ O
the -X- _ O
property -X- _ O
is -X- _ O
now -X- _ O
below -X- _ O
80 -X- _ O
% -X- _ O
value. -X- _ O
I -X- _ O
need -X- _ O
your -X- _ O
assistance -X- _ O
